# MNE-Annotations
# onset, duration, description
0.653457306338028,2.270200814260563,BAD_component
70.16880941901408,0.9013204225352069,BAD_component
142.51825924295775,6.12334562059857,BAD_component
211.90556283010562,3.6841472271126747,BAD_component
280.6457196302817,4.889663292253545,BAD_component
351.0246368838028,1.6449097711267768,BAD_component
353.92012874119723,1.8082740977112621,BAD_component
426.97866472271136,1.6392765184859286,BAD_component
495.929471830986,2.1124697403168966,BAD_component
562.7993359375,1.4646456866197468,BAD_component
