# MNE-Annotations
# onset, duration, description
8.149613226232395,7.272529159330984,BAD_component
19.19050561179578,1.1097507702464782,BAD_component
21.477606183978875,0.9689194542253539,BAD_component
26.807701364436618,1.5378779709507029,BAD_component
104.90929632482396,2.1631690140845024,BAD_component
338.1364794234155,2.078670224471864,BAD_component
419.6907146786972,1.6223767605633839,BAD_component
424.69377860915495,2.3772326144366502,BAD_component
509.45764689700707,1.8364403609155033,BAD_component
584.4445279489438,3.0588561839788326,BAD_component
593.6232834507042,1.92093915052817,BAD_component
